type,R,C,P,gen_ms,cont_ms,total_ms
mpi_static,10000,50000,2,3474.51,579425,582900
mpi_static,10000,50000,2,3474.96,579902,583377
mpi_static,10000,50000,2,3475.3,580095,583570
mpi_static,10000,50000,2,3475.39,579687,583162
mpi_static,10000,50000,2,3475.51,579889,583364
mpi_static,10000,50000,2,3475.6,580159,583635
mpi_static,10000,50000,2,3476.22,579653,583130
mpi_static,10000,50000,2,3479.94,580054,583534
mpi_static,10000,50000,2,3481.1,579492,582973
mpi_static,10000,50000,2,3482.18,579411,582893
mpi_static,10000,50000,2,3490.14,579369,582859
mpi_static,10000,50000,2,3491.57,579605,583096
mpi_static,10000,50000,2,3505.92,579388,582894
mpi_static,10000,50000,2,3509.65,579763,583273
mpi_static,10000,50000,2,3521.37,579911,583432
mpi_static,10000,50000,4,1542.5,259414,260956
mpi_static,10000,50000,4,1738.87,289820,291559
mpi_static,10000,50000,4,1738.97,289730,291469
mpi_static,10000,50000,4,1739.08,289594,291334
mpi_static,10000,50000,4,1739.26,289941,291680
mpi_static,10000,50000,4,1739.43,289972,291711
mpi_static,10000,50000,4,1739.65,289576,291316
mpi_static,10000,50000,4,1740.05,289840,291580
mpi_static,10000,50000,4,1740,289814,291554
mpi_static,10000,50000,4,1740.98,290787,292528
mpi_static,10000,50000,4,1741.15,289535,291276
mpi_static,10000,50000,4,1741.81,289562,291304
mpi_static,10000,50000,4,1741.8,289802,291544
mpi_static,10000,50000,4,1741.84,290905,292647
mpi_static,10000,50000,4,1742.31,289773,291515
mpi_static,10000,100000,2,6963.4,1159320,1166280
mpi_static,10000,100000,2,6964.7,1157200,1164170
mpi_static,10000,100000,2,6967.85,1159260,1166230
mpi_static,10000,100000,2,6968.44,1125660,1132630
mpi_static,10000,100000,2,6973.77,1159130,1166100
mpi_static,10000,100000,2,6973.8,1159570,1166550
mpi_static,10000,100000,2,6982.25,1157300,1164280
mpi_static,10000,100000,2,6985.72,1157190,1164170
mpi_static,10000,100000,2,6985.8,1158950,1165940
mpi_static,10000,100000,2,7003.22,1158820,1165830
mpi_static,10000,100000,2,7037.54,1158900,1165940
mpi_static,10000,100000,2,7093.86,1158200,1165290
mpi_static,10000,100000,2,7094.19,1160090,1167180
mpi_static,10000,100000,2,7094.78,1160200,1167290
mpi_static,10000,100000,2,7094.87,1159870,1166960
mpi_static,10000,100000,8,1748.5,289642,291390
mpi_static,10000,100000,8,1755.63,289644,291400
mpi_static,10000,100000,8,1762.31,290095,291857
mpi_static,10000,100000,8,1764.97,289998,291763
mpi_static,10000,100000,8,1765.94,290034,291800
mpi_static,10000,100000,8,1766.05,289948,291714
mpi_static,100000,10000,2,6955.52,1158950,1165900
mpi_static,100000,10000,2,6958.5,1158700,1165660
mpi_static,100000,10000,2,6963.27,1159600,1166560
mpi_static,100000,10000,2,6964.02,1158610,1165570
mpi_static,100000,10000,2,6965.31,1159690,1166650
mpi_static,100000,10000,2,6965.71,1158830,1165800
mpi_static,100000,10000,2,6965.77,1159160,1166130
mpi_static,100000,10000,2,6968.73,1158650,1165620
mpi_static,100000,10000,2,6969.59,1158650,1165620
mpi_static,100000,10000,2,6970.35,1158600,1165570
mpi_static,100000,10000,2,6972.85,1159080,1166050
mpi_static,100000,10000,2,6973.6,1158720,1165690
mpi_static,100000,10000,2,6974.4,1158950,1165920
mpi_static,100000,10000,2,6975.78,1158670,1165640
mpi_static,100000,10000,2,6982.95,1158810,1165800
mpi_static,100000,10000,4,3483.96,579237,582721
mpi_static,100000,10000,4,3485.56,579695,583181
mpi_static,100000,10000,4,3486.46,579365,582852
mpi_static,100000,10000,4,3486.6,579209,582696
mpi_static,100000,10000,4,3487.44,579342,582829
mpi_static,100000,10000,4,3487.56,580022,583510
mpi_static,100000,10000,4,3489.41,579325,582814
mpi_static,100000,10000,4,3500.99,579388,582889
mpi_static,100000,10000,4,3501.12,579858,583359
mpi_static,100000,10000,4,3502.44,579376,582878
mpi_static,100000,10000,4,3503.13,580022,583525
mpi_static,100000,10000,4,3511.04,579763,583274
mpi_static,100000,10000,4,3513.1,579428,582941
mpi_static,100000,10000,4,3553.78,579347,582901
mpi_static,100000,10000,4,3651.92,579682,583333
